Startdatum,Einddatum,Hele dag?,Starttijd,Eindtijd,Terugkerend?,Titel,Omschrijving,Categoriën,Toegelaten?,Locatie,Adres,WebURL,URL omschrijving,OV,Entree,Image,Hovers,Clicks,CTR
01/10/2016,03/10/2016,Nee,10:00,22:00,Nee,Fest zum Tag der deutschen Einheit,"Het hoogtepunt van Tag der Deutschen Einheit (Duitse eenheid in 1990) is natuurlijk het grote feest op de Strasse des 17 Juni, voor de Brandenburger Tor. Ook dit jaar is er weer een grote 'Festmeile', waar activiteiten voor iedereen zijn. Denk aan livemuziek, een gezellige biergarten, straattheater en een Big Band. Er komt geen groot podium zoals vorig jaar, maar meerdere kleine podia, waar verschillende acts zullen optreden. Jong talent, straatkunstenaars en nog veel meer. Uiteraard staan er ook genoeg voedsel- en drankkraampjes voor een gezellig weekend.",,Ja,Festmeile voor de Brandenburger Tor,"Strasse des 17 Juni 1953, Tiergarten",//www.berlin.de/events/2716319-2229501-tag-der-deutschen-einheit-am-brandenburg.html,berlin.de,S+U Hauptbahnhof,"0,00",https://www.berlin.de/binaries/asset/image_assets/3642849/source/1443429370/667x500/,392,40,"10,20%"
01/10/2016,02/10/2016,Nee,11:00,20:00,Nee,17. Schöneberger Kürbisfest,"Verzot op pompoen? Dan is dit een leuk festival om te bezoeken! Midden in de prachtige Akazienkiez in Schöneberg is een leuk festival rondom de pompoen. Er zijn meer dan 10.000 pompoenen te bekijken, in 20 verschillende soorten. Deze worden in talloze soepen, gerechten en zoete lekkernijen verwerkt. Heerlijk! Ook is er livemuziek, onder andere van de legendarische Berlijnse politieband 101 en nog veel meer leuke artiesten. Voor de kleintjes is er een kinderhoek in de Apostelkerk, er is een draaimolen en je kunt er gratis pompoenen uitsnijden. Een leuk festival om de herfst echt mee in te luiden!",,Ja,Akazienkiez in Schöneberg,"Akazienstrasse, Schöneberg",//www.berlin.de/events/4531106-2229501-schoeneberger-kuerbisfest.html,berlin.de,S Julius Leber Brücke,"0,00",https://www.berlin.de/binaries/asset/image_assets/1307433/source/1471511221/418x316/,367,15,"4,09%"
02/10/2016,02/10/2016,Nee,11:00,17:00,Nee,Old Fleas Vintage Market,"Old Fleas is een van de leukste vintage markten in Berlijn en is na een zomerstop weer terug! In het prachtige oude Ballhaus op de Chausseestrasse wordt normaal uitgebreid gedanst, maar kun je nu shoppen tussen mooie kleding, accessoires, antieke spullen, vintage design, muziek en nog veel meer. Er is ook aan de kleintjes gedacht met een speelhoek en er zijn fijne food- en drinkstalletjes.",,Ja,Ballhaus Berlin,"Chausseestraße 102, 10115 Berlin, Germany",//www.facebook.com/events/550750791781208/,Facebook event,U6 Schwarzkopfstrasse,"2,00",https://scontent.ftxl1-1.fna.fbcdn.net/t31.0-8/14324494_1195953647144186_6770267662864313574_o.jpg,371,21,"5,66%"
02/10/2016,03/10/2016,Nee,21:00,08:00,Nee,Tanz die Deutsche Einheit,"Dans en vier de vrijheid en eenheid van Duitsland in de Anklerklause, een gezellige bar in Kreuzberg. Het feest begint al op 2 Oktober en duurt tot maandagochted. ",,Ja,Ankerklause,"Kottbusser Damm 104, 10967 Berlin",//www.berlin.de/clubs-und-party/party-tipps/4574794-2857961-tanz-die-deutsche-einheit-in-der-ankerkl.html,berlin.de,U8 Kottbusser Tor,"10,00",https://www.berlin.de/binaries/asset/image_assets/1212699/source/1392631549/418x316/,463,23,"4,97%"
07/10/2016,16/10/2016,Nee,19:00,23:00,Nee,Festival of Lights 2016,"Festival of Lights zet Berlijn in kleurrijk licht! Jaarlijks keert dit prachtige lichtfestival weer terug en worden beroemde Berlijnse bezienswaardigheden kleurrijk verlicht. Het festival is de concurrent van Berlin Leuchtet, dat de commercie van het Festival of Lights on-Berlijns vond en zo haar eigen festival besloot te organiseren. Samen zorgen ze er echter voor dat een avondwandeling door Berlijn een geheel nieuwe betekenis krijgt!<br/><br/>Meer weten? <a href=""//wattedoeninberlijn.nl/festival-of-lights-berlijn/"">Lees dan mijn blog hier over</a> of <a href=""//wattedoeninberlijn.nl/festival-of-lights-berlijn/"">meldt je aan</a> voor een tour!",,Ja,"Verschillende venues door de hele stad, zie website",,//festival-of-lights.de,festival-of-lights.de,S Brandenburger Tor,"0,00",https://scontent.xx.fbcdn.net/t31.0-8/12113394_10153061493266512_612435597472262468_o.jpg,896,178,"19,87%"
16/10/2016,16/10/2016,Nee,10:00,17:00,Nee,Vinyl Breakfast Market,"Eindelijk een breakfast market voor vinly liefhebbers! Hier kun je naast lekker ontbijten, ook struinen tussen de standjes met platen. Nieuwe labels, white labels, limited editions en nog veel meer. Je kunt hier alles vinden, van Deep House tot Indie Rock. Heerlijk!",,Ja,Markthalle Neun,"Eisenbahnstraße 42-43, Kreuzberg",//www.facebook.com/events/1212057885492385/,Facebook event,U1 Schlesisches Tor,"3,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/14317589_1067255843392099_6871090884109820226_n.jpg?oh=2d6c33592838e68e5a81bb84ad1f18e9&oe=583B00C2,745,120,"16,11%"
29/10/2016,30/10/2016,Nee,23:00,07:00,Nee,Halloween Berlin 2016 in Kino International,"In de prachtige bioscoop Kino International op de Karl Marx Allee, worden jaarlijks traditiegetrouw halloweenfeesten gegeven. Ook voor dit jaar staat er weer een grote horror show en club night gepland. Ontdek de donkere en oude kluis, laat je de stuipen op het lijf jagen door rare creatures en monsters en geniet van een nacht behind the scenes in dit beroemde gebouw. Ook is er een horror art exhibition, kun je genieten van live art performances en natuurlijk urenlang dansen in de mooie panorama bar. Tickets kosten tien euro in de voorverkoop, zijn echter goedkoper als je ze nu al bestelt. Verkrijgbaar via Eventbrite: <a href=""//halloweenberlin.eventbrite.de/"">klik hier.</a>",,Ja,Kino International,"Karl-Marx-Allee 33, Mitte",//www.facebook.com/events/171835669920286/,Facebook event,U5 Schillingstrasse,"10,00",https://scontent.ftxl1-1.fna.fbcdn.net/t31.0-8/14258120_1264605933558172_6757450919817840409_o.jpg,619,75,"12,12%"
08/11/2016,09/11/2016,Nee,19:00,04:00,Nee,US Election All-Nighter - Verkiezingsavond,"Dat de Amerikaanse verkiezingen van dit jaar historisch worden, staat vooraf al vast. Mis deze bijzondere avond niet en bekijk samen met andere wereldburgers de uitslag in het Hallesches Haus. De entree is gratis en je kunt genieten van allerlei hapjes en drankjes. Het event begint om 19 uur en gaat door tot ver in de volgende ochtend, net zo lang tot de winnaar bekend is.",,Ja,Hallesches Haus,"Tempelhofer Ufer 1, Kreuzberg",//www.facebook.com/events/1781469148791712/,Facebook Event,U1/6 Hallesches Tor,"0,00",https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/14212623_1745337309037824_8939010897889261868_n.jpg?oh=9ec706a6a6e0ebca65e77138c4e1b14f&oe=58961DF1,170,11,"6,47%"
10/11/2016,10/11/2016,Nee,19:00,22:00,Nee,Hieronymus Bosch en zijn kijk op de wereld in beeld uit de 16e en 17e eeuw,"500 jaar geleden overleed Jheronimus Bosch, vooral bekend vanwege met name zijn satirische werken. De Gemäldegalerie en het Kupferstichkabinett organiseren daarom een expositie met een aantal van zijn werken, en werken geïnspireerd op Bosch zijn werk. <br/><br/>Het belangrijkste en meest indrukwekkende werk daar te zien is de <a href=""//www.wikiwand.com/nl/Johannes_de_Evangelist_op_Patmos"" target=""_blank"">'Johannes de Evangelist op Patmos'</a>, geschilderd op een eikenhoutenpaneel. Ondertekend door de meester zelf. ",,Ja,Gemäldegalerie,"Matthäikirchplatz, 10785 Berlin, Germany",//www.facebook.com/events/102698803544071/,Facebook event,S+U Potsdamer Platz,"10,00",https://scontent-frt3-1.xx.fbcdn.net/v/t1.0-9/14721666_1245072855513559_6940598961384193622_n.jpg?oh=81378785cc60ab14e8ca3be0a1e61473&oe=58D0D7BD,78,5,"6,41%"
11/11/2016,12/11/2016,Nee,18:00,23:59,Nee,BRLO x KASCHK Tap Takeover,"Hou je van eigen gebrouwen biertjes? Ook fan van superhelden? BRLO brengt beide bij elkaar voor een onvervalst avondje gezelligheid.<br/><br/><a href=""//wattedoeninberlijn.nl/kaschk-koffie-craft-beer-bar/"" target=""_none"">Wat ik ooit over Kaschk schreef vind je overigens hier terug</a>.",,Ja,Kaschk,"Linienstrasse 40, 10119 Berlin, Germany",//www.facebook.com/events/1124710820916628/,Facebook event,U8 Rosa Luxemburger-Platz,"0,00",https://scontent-frt3-1.xx.fbcdn.net/v/t1.0-9/14937223_1318398204857856_128764039864401808_n.jpg?oh=550c5c124bb55c98c4425bc3a7e894a3&oe=588EF3D1,85,6,"7,06%"
12/11/2016,12/11/2016,Nee,14:00,22:00,Nee,Neukölln Shopping Nacht: Weserstrasse Special Edition,"Speciaal voor jou in deze koude herfstdagen, organiseren een aantal van de hipste winkels van Berlijn een shoppingfestijn in de Weserkiez!",,Ja,Weserkiez,"Weserstraße, Neukölln",//www.facebook.com/events/658184524343888/,Facebook event,S Sonnenallee,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/14581355_1129926817089653_9074077080294138267_n.jpg?oh=0baafbd73d2e3a9dc62655ef78b28464&oe=588CC402,61,3,"4,92%"
13/11/2016,13/11/2016,Nee,17:00,21:00,Nee,Jazz Picnic goes Barkett,"De warme dagen zijn voorbij, maar de muzikanten (waar jij er ook een van mag zijn) die bij Barkett langs komen, houden je graag warm met fijne jazz en drankjes. ",,Ja,Barkett,"Czeminskistraße 10, 10829 Berlin, Germany",//www.facebook.com/events/656395711195613/,Facebook event,S Julius-Leber-Brücke,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/14910545_10202428241384854_5267025427928753883_n.jpg?oh=543900c4abb234f30b974a5edf6a2662&oe=58CEFB66,87,3,"3,45%"
13/11/2016,13/11/2016,Nee,00:01,23:59,Nee,Totensonntag,"Totensonntag is een feestdag in heel Duitsland, waarbij koning Frederik William de 3e van Pruissen heeft bepaald dat op die dag de doden worden herdacht. Hierbij is het in Berlijn bijvoorbeeld zo dat de meeste Flohmarkten, eetgelegenheden, musea en andere openbare locaties gesloten zijn. Hou daar dus in je plannen rekening mee!<br/><br/>Een leuk detail misschien, is dat het in Duitsland wettelijk verboden is om te <i>dansen</I> op doden zondag!",,Ja,,,,,,"0,00",https://bilder.t-online.de/b/76/11/65/42/id_76116542/610/tid_da/am-totensonntag-besuchen-viele-glaeubige-protestanten-den-friedhof-um-der-toten-zu-gedenken-.jpg,70,7,"10,00%"
13/11/2016,13/11/2016,Nee,00:01,23:59,Nee,Volkstrauertag,"Alle winkels dicht, vlooienmarkten zijn afgelast.<br/><br/>Meer info:<br/>In 1919 is besloten tot een rouwdag voor de slachtoffers van de eerste wereldoorlog. In de Bundestag houdt de bondskanselier die dag een speech, met daarbij ook het hele kabinet present. Het volkslied, en een speciaal lied <a href=""//www.wikiwand.com/en/Ich_hatt%27_einen_Kameraden"" target=""_blank""></a> worden die dag ook afgespeeld. ",,Ja,,,,,,"0,00",https://upload.wikimedia.org/wikipedia/commons/5/59/Bundesarchiv_Bild_102-05552%2C_Berlin%2C_Volkstrauertag_im_Reichstag.jpg?1478892236961,64,5,"7,81%"
19/11/2016,19/11/2016,Nee,19:00,23:55,Nee,Kilminister - A Motörhead Tribute,"In de fijnste metalbar van Berlijn staan regelmatig grotere en kleinere bands. In verband met het overlijden van Motörhead voorman Lemmy Kilminister, is er een tribute-avond georganiseerd. Natuurlijk met heel veel bier, whiskey en een goede coverband.",,Ja,Blackland - Berlin Rock & Metal bar,"Lilli Henoch Strasse 1, Prenzlauer Berg",//www.blackland.eu/?c=events,blackland.eu,S Greifswalder Strasse,"10,00",https://www.blackland.eu/uploads/images/191116.jpg,382,25,"6,54%"
20/11/2016,20/11/2016,Nee,10:00,17:00,Nee,Dia de los Muertos - Breakfast market,"Ben je ook verzot op Mexicaans? Kom dan naar deze leuke editie van de breakfast market in Markthalle Neun! Lekker ontbijten met heerlijke gerechten zoals Huevos Rancheros, Tacos, Tamales en natuurlijk een echte Mezcal cocktail. Ook kun je hier mooie kookboeken en magazines kopen met mexicaanse gerechten, scherpe chili's, mexcal, cacti, verse tortilla's en nog veel en veel meer. Aanwezig zijn onder andere: NETA, Comptoir du Cidre, La Lucha, Mezcaleria de Berlin, Iguana Bonita en nog een heleboel anderen. Heerlijk!",,Ja,Markthalle Neun,"Eisenbahnstraße 42-43, Kreuzberg",//www.facebook.com/events/630189010489154/,Facebook Event,U1 Schlesisches Tor,"3,00",https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/14479684_1100007986783551_410390724523094623_n.jpg?oh=9349a5d3741cd4e61e1a65f031c69198&oe=589F4B4B,328,41,"12,50%"
21/11/2016,26/12/2016,Nee,10:00,22:00,Nee,Weihnachtsmarkt Alexanderplatz,"Elk jaar is er ook weer een feestelijke kerstmarkt op Alexanderplatz. Voor de Galeria op het plein kun je genieten van gluhwein, gluhbier, worst, champignons in knoflooksaus, crepes en nog veel meer traditionele hapjes. Ook kun je hier allerlei leuke kerstsouvenirs kopen, waaronder prachtige kerststerren, kerstballen, zachte pantoffels, mooie sjaals en nog veel meer.",,Ja,Alexanderplatz,"Alexanderplatz, Mitte",//www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/1304487-1328132-weihnachtsmarktaufdemalexanderplatz.html,weihnachteninberlin.de,S+U Alexanderplatz,"0,00",https://www.weihnachteninberlin.de/binaries/asset/image_assets/1584823/ratio_16_9/1383300560/570x321/,1694,166,"9,80%"
21/11/2016,31/12/2016,Nee,12:00,22:00,Nee,Weihnachtsmarkt Gendarmenmarkt,"Misschien wel de mooiste kerstmarkt van Berlijn en zeker een van de gezelligste. Hier kun je genieten van allerlei lekkernijen uit heel Duitsland, eten in gezellige pop up restaurants en sneupen tussen de prachtige kerstversiering en andere handgemaakte dingen. Natuurlijk is er theater, live muziek en nog veel meer. Een absolute must tijdens je bezoek aan Berlijn in de kerstperiode! Let wel op: koffers, trollys en grote rugzakken mogen niet de markt opgenomen worden.",,Ja,Gendarmenmarkt,"Gendarmenmarkt, Mitte",//www.gendarmenmarktberlin.de/wp/,gendarmenmarktberlin.de,U2/6 Stadtmitte,"1,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/603074_531708946924026_1585249989_n.jpg?oh=a3bf45dbfcd4b635d4ec7783f309610d&oe=586E1418,1726,195,"11,30%"
21/11/2016,27/11/2016,Nee,00:00,23:00,Nee,Berlinitalienisches Tomatenfest,"De eerste wereldwijde 'week van de Italiaanse keuken' – dat is waar deze week om gaat. Door heel Berlijn ontdek je de meeste fantastische restaurants, die 'de tomaat' centraal hebben gesteld. Van pasta tot pizza, lasagne, cennelloni en gnocchi, in de Berlijnse Tomatenweek kom je het overal tegen!<br/><br/><a href=""//trueitalian.top/wp-content/uploads/sites/7/2016/11/flyertomatenfest-Back2.pdf"" target=""_blank"">De kaart van alle deelnemende locaties vind je hier terug</a>",,Ja,"Verschillende venues door de hele stad, zie website",,//www.facebook.com/events/556405157903219/#,Facebook event,,"0,00",https://trueitalian.top/wp-content/uploads/sites/7/2016/08/tomatenfest-1.png,217,28,"12,90%"
25/11/2016,25/11/2016,Nee,15:00,18:00,Nee,Feuriger Advent in der Marzahner Promenade,"Op de promenade in Marzahn wordt de adventstijd ook gevierd, met tal van activiteiten voor klein en groot, met als afsluiter een ware pyro show door het 'pyro-team Berlin'!",,Ja,Marzahner Promenade,"Marzahner Promenade, 12679 Berlin, Germany",//www.facebook.com/events/1105594076223817/,Facebook event,S Berlin Marzahn,"0,00",https://www.stadtentwicklung.berlin.de/staedtebau/foerderprogramme/aktive_zentren/pix/marzahner_promenade/mp_faktentitel_470.jpg,228,24,"10,53%"
26/11/2016,26/11/2016,Nee,11:00,16:00,Nee,Instrumentenflohmarkt 2016,"Aan- en verkoop van alles wat met muziek te maken heeft. Een leuke en gezellige beurs, café en natuurlijk live muziek.",,Ja,AKD - Amt für Kirchliche Dienste,"Goethestrasse 26-30, Charlottenburg",//www.facebook.com/events/1566791513630774/,Facebook event,U2 Deutsche Oper,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/13934884_1014383158683539_2189492947173202969_n.jpg?oh=7cb16d8095fad674e04daa0fb938c87f&oe=583C9CB4,429,19,"4,43%"
26/11/2016,27/11/2016,Nee,10:00,18:00,Nee,Zweedse kerstmarkt - Schwedischer Weihnachtsmarkt,"De Zweedse gemeenschap in Berlijn organiseert jaarlijks een leuke kerstmarkt en bouwt een soort mini-Zweden. Hier is Zweeds kunsthandwerk, glaswerk, borduurwerk en nog veel meer te koop. Ook Zweedse lekkernijen en kerstversiering kun je hier vinden. Natuurlijk is er ook een cafe gebouwd, waar de beroemde Zweedse groene prinsessentaartjes worden verkocht. Op de grill liggen worstjes van eland en nog veel meer. Ook aan de kinderen is gedacht: er is een stal waar sprookjes worden verteld. En natuurlijk is er ook een Zweedse kerstman!",,Ja,Schwedischen Viktoriagemeinde,"Landhausstrasse 26, Wilmersdorf",//www.facebook.com/events/353327408344649/,Facebook event,U9 Berliner Strasse,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/12274406_1158271054200764_6910294179126379838_n.jpg?oh=dffb45ed9452e47c480db6b6316b42ea&oe=5868CBAC,497,36,"7,24%"
27/11/2016,27/11/2016,Nee,13:00,19:00,Nee,RAW WINE FAIR Berlin,"Meer dan 100 soorten wijn uit de hele wereld, en alles wat daar bij hoort - vindt je deze dag terug in Markthalle IX!<br/><br/>RAW WINE presenteert alleen wijnen uit biologische, natuurlijke of biodynamische aanbouw. Ze bieden alles voor de beginnende en ervaren wijnkenner!",,Ja,Markthalle Neun,"Eisenbahnstraße 42-43, Kreuzberg",//www.facebook.com/events/332864596837239/,Facebook event,U1 Schlesisches Tor,"28,00",https://berlin.rawwine.com/sites/www.rawwine.com/files/styles/300_wide/public/field/image/rw-2016-ber---visiting_the_fair.jpg,157,20,"12,74%"
27/11/2016,27/11/2016,Nee,17:00,19:00,Nee,Konzert zum 1. Advent,In Adlershof treedt een verzameling klassieke artiesten samen op om op eerste advent jou met klassieke muziek te verwarmen.,,Ja,Verklärungskirche Berlin Adlershof,"Arntstrasse 11-15, 12489 Berlin, Germany",//www.facebook.com/events/1160533217355852/,Facebook event,S Berlin Adlershof,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/14993570_10154656582508744_7327790070796339030_n.jpg?oh=7df81dd7dda160b4a2a6b9dc154bda2d&oe=5893B482,138,14,"10,14%"
27/11/2016,27/11/2016,Nee,10:00,11:30,Nee,Gottesdienst zum 1. Advent,"Ook de Berlijner dom luidt de adventsperiode in met een dienst. Daarvoor is het 'knapenkoor' gevraagd om deze dienst met zang te begeleiden. Entree is gratis, een 'Spende' altijd welkom. Geniet van de prachtige dom én muziek op deze advent!",,Ja,Dom Ber0lin,"Am Lustgarten, 10178 Berlin, Germany",//www.facebook.com/events/611570809029879/,Facebook event,S+U Alexanderplatz,"0,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/14907182_1199277800119843_7365224621682211193_n.jpg?oh=d39e25f52be2ef7900a285f71b4a3192&oe=58959656,187,9,"4,81%"
03/12/2016,04/12/2016,Nee,12:00,21:00,Nee,Holy Shit Shopping!,"Mijn favoriete designerkerstmarkt komt weer naar Berlijn! In het prachtige Kraftwerk (voormalige energiecentrale) staan weer drie verdiepingen vol met kunst, street food, leuke kleding, mooie posters en andere toffe verkoopstalletjes. Hier kun je je gegarandeerd uren vermaken, om helemaal in de kerststemming te raken!",,Ja,Kraftwerk Berlin,"Köpenicker Strasse 117, Kreuzberg",//holyshitshopping.de/event/berlin/,holyshitshopping.de,U8 Heinrich Heine Strasse,"4,00",https://www.dropbox.com/sh/sihc824ztut0kav/AACPE4DqdMb_mr_ExO0-F_3ia?dl=0&preview=HSS_Berlin_Kraftwerk_1+%C2%A9+by+Rolf+G.+Wackenberg.jpg,1252,160,"12,78%"
04/12/2016,04/12/2016,Nee,12:00,18:00,Nee,Advent Naschmarkt,"Kerst komt er weer aan en dus is er in Markthalle Neun weer een leuke markt georganiseerd. Dit keer met allerlei zoetigheden en lekkernijen rondom Nikolaus en de feestdagen, gemaakt door de kleinere bedrijfjes uit Berlijn. Lebkuchen, bonbons, chocolade, macarons, cakepops, taarten, cakes, honing, marmelades en nog veel, veel meer!",,Ja,Markthalle Neun,"Eisenbahnstraße 42-43, Kreuzberg",//markthalleneun.de/advents-naschmarkt-2016/,markthalleneun.de,U1 Schlesisches Tor,"3,00",https://markthalleneun.de/media/CACHE/images/content/Naschmarkt_06.12.2015_1/ae1075062b4247d3abd14edfce1f29ca.jpg,952,52,"5,46%"
10/12/2016,11/12/2016,Nee,12:00,20:00,Nee,Weinachtsrodeo VII,"Een van de leukste design-kerstmarkten is de Weihnachtsrodeo. Hier staan - verdeeld over twe verdiepingen - 150 kunstenaars, producenten en andere verkopers hun waren te verkopen. Van mooie kleding, tot zelfgestookte drank, tot kunst en deisgn en nog veel meer. Natuurlijk is ook genoeg street food voor de liefhebbers en staat de pan met Gluhwein al aan.",,Ja,Postbahnhof am Ostbahnhof,"Strasse der Pariser Kommune 8, Friedrichshain",//www.facebook.com/events/902641783148022/,Facebook event,S Ostbahnhof,"4,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/12308675_1164054343622435_5726751204054846751_n.jpg?oh=9eafae978e52bd86ecce10c392d6d76d&oe=58265766,1664,120,"7,21%"
10/12/2016,11/12/2016,Nee,12:00,21:00,Nee,Japanese Weichnachtsmarkt,"Dit jaar vindt er een heuse Japanse kerstmarkt in Berlijn plaats. Van Japanse lekkernijen, tot tradtionele Japanse dans, kan groot en klein genieten van deze fijne kerstmarkt.",,Ja,Arena Berlin,"Eichenstrasse 4, Treptow",//www.facebook.com/events/730406367103615/,Facebook event,U1 Schlesisches Tor,"4,00",https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/12234857_1158230584204811_9030770766597063130_n.png?oh=49ab9ff617ee27d5fc67a58b480ee5c9&oe=5867B1A5,837,85,"10,16%"
11/12/2016,11/12/2016,Nee,09:00,11:00,Nee,Stoomlocomotief rondrit door Berlijn,"Dwars door het oosten van Berlijn, rijdt de prachtige stoomloc van de Berliner betriebsbahnhöfe. De rit duurt zo'n twee uur en gaat door een winters Berlijn. Vertrek is van Wuhlheide, via Schöneweide, Lichtenberg, Hohenschönhausen tot aan Spandau en eindigt bij Gesundbrunnen. Erg leuk voor families met kleine kinderen! Volwassenen betalen 29 euro, kinderen tussen de 6 en 14 jaar kosten 14 euro. Je kunt ook een familieticket kopen van 75 euro, geldig voor twee volwassenen en vier kinderen. Bekijk voor meer info en het boeken van tickets de website!",,Ja,Gesundbrunnen,"Badstrasse, Wedding",//www.berlin-macht-dampf.com/2016-1211-A-BERLIN.html,berlin-macht-dampf.de,S+U Gesundbrunnen,"14,00",https://www.berlin-macht-dampf.com/images/161211-A-lok.jpg,641,69,"10,76%"
17/12/2016,18/12/2016,Nee,12:00,20:00,Nee,Weinachtsrodeo VII,"Een van de leukste design-kerstmarkten is de Weihnachtsrodeo. Hier staan - verdeeld over twe verdiepingen - 150 kunstenaars, producenten en andere verkopers hun waren te verkopen. Van mooie kleding, tot zelfgestookte drank, tot kunst en deisgn en nog veel meer. Natuurlijk is ook genoeg street food voor de liefhebbers en staat de pan met Gluhwein al aan.",,Ja,Postbahnhof am Ostbahnhof,"Strasse der Pariser Kommune 8, Friedrichshain",//www.facebook.com/events/902641783148022/,Facebook event,S Ostbahnhof,"4,00","https://static.wixstatic.com/media/2a7ff9_d5c3414a3a2e4e20b218e637d9faa742.png/v1/fill/w_214,h_257,al_c/2a7ff9_d5c3414a3a2e4e20b218e637d9faa742.png",1664,120,"7,21%"
17/12/2016,01/01/2017,Nee,12:00,22:00,Nee,The Green Market - Winter Edition,"De allerleukste Vegan en vegetarische markt van Berlijn komt weer terug voor een wintereditie! In de prachtige Kindl Brauerei vindt weer een leuke en gezellige markt plaats, die helemaal in het teken van vegan lifestyle en de feestdagen staat. Ook is het twee jaar geleden dat de allereerste editie plaats vond, dus reden voor een feestje! Er is genoeg te doen, zien en proeven. Er is genoeg street food, gluhwein, een live cooking show, film screening, muziek en natuurlijk vegan fashion, make up en nog veel meer.",,Ja,Agora Rollberg,"Am Sudhaus 2, Neukölln",//www.facebook.com/events/1284025261648935/,Facebook Event,U7 Rathaus Neukölln,"2,00",https://scontent.ftxl1-1.fna.fbcdn.net/t31.0-8/14566250_835723319896866_1163027091495357641_o.jpg,568,93,"16,37%"
17/01/2017,20/01/2017,Ja,,,Nee,Berlin Fashion Week - Winter edition,"De mode voor dit najaar wordt zoals gewoonlijk in januari tijdens de Berlin Fashion week gepresenteerd. Met talloze shows van de grootste merken, is er voor ieder wat wils! Daarnaast zijn er een heleboel leuke feestjes die je als fashion fanaat natuurlijk niet wil missen.",,Ja,,Diverse locaties door de stad,//www.fashion-week-berlin.com,Fashion-week-berlin.com,,"0,00",https://scontent-fra3-1.xx.fbcdn.net/v/t1.0-9/15622132_1314026595305624_3888837742958406692_n.jpg?oh=e74af0fc07e756bc3477ebbb521b73eb&oe=592127B8,43,8,"18,60%"
29/01/2017,29/01/2017,Nee,12:00,18:00,Nee,Street food markt 'auf Achse' 29-01,"Elke zondag vind er op het binnenplein van de Kulturbrauerei een heerlijke food markt plaats. Hier kun je bij een kleine 20 foodtrucks de lekkerste hapjes proeven. Van Italiaans tot Pools en Oekraiens, tot Indonesisch en natuurlijk typisch Duits eten. Ook staat hier met regelmaat een geweldige burger-truck. Als je meer wil weten over deze foodmarkt, lees dan even mijn blog over de <a href=""https://wattedoeninberlijn.nl/street-food-markt-auf-achse/"">Street Food markt Auf Achse.</a>",,Ja,Kulturbrauerei,"Schönhauser Allee 136, Prenzlauer Berg",//www.facebook.com/streetfoodaufachse/,Facebook pagina,U2 Eberswalder Strasse,"0,00",https://scontent-fra3-1.xx.fbcdn.net/v/t31.0-8/13667899_1212935725407212_8550775645446541958_o.jpg?oh=111329c8cc81d71484ae85c8e0f6b64d&oe=590F200B,1,no data,no data
05/02/2017,05/02/2017,Nee,11:00,19:00,Nee,Wurst & Bier festival 2017,"Als je houdt van de Duitse klassiekers worst en bier, dan mag je dit gezellige event in de Markthalle Neun niet missen. Beide producten worden al van oudsher gemaakt en kennen dus een lange geschiedenis. Bij dit event in de Markthalle vind je ambachtelijke worstenmakers en bierbrouwers, moderne brouwers die het Duitse Reinheitsgebot (regels voor bierbrouwen) graag negeren en natuurlijk een hoop biologische worsten van wild vlees. Voor meer informatie, check even de website!",,Ja,Markthalle Neun,"Eisenbahnstrasse 42, Kreuzberg",//markthalleneun.de/veranstaltungen/135/2017/2/5/wurst-und-bier-1,markthalleneun.de,U Schlesisches Tor,"3,00",https://markthalleneun.de/media/CACHE/images/content/images/Kumpel__Keule_Produkfotos-8_web/0ee2872b7ab2f6e5787df99d63c66af0.jpg,324,20,"6,17%"
